[2.4288249, 0.3686239999999999, 1.3824985000000003, 1.0159702, 0.6537637999999999, 1.2703223, 0.3209349, 0.6206979, 0.4118123, 0.44539480000000004],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0.3264453, 0.2254631, 1.3788688000000002, 0.6949569, 0.134785, 0.8064665000000001, 0.8668715, 0.4889752, 1.2859623, 0.4123986],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0.6688731, 0.7259506, 0.7245276000000002, 0.6180073, 0.8761361, 0.4427678, 0.8260873, 2.6853059999999997, 0.5292011999999999, 0.7162479],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[1.1419964000000002, 0.8624952000000001, 2.4443124, 0.15734820000000002, 1.650638, 1.4943391000000001, 0.9134948, 1.3526543, 1.4765534000000002, 0.8818563000000001],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0.5664144, 0.5113402, 1.8356293000000001, 0.7167583000000001, 0.2830482, 0.4542277, 0.19965159999999998, 0.36388539999999997, 0.46049589999999996, 1.2706216000000001],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[1.92461, 0.5809242000000001, 1.4991187000000001, 1.0034071, 1.1453980000000001, 0.6485156, 1.1852144, 0.7076393, 0.4889139, 0.7154029000000001],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0.9919987, 1.1539917, 1.4462914, 0.9832924, 1.2830693, 1.0628507, 1.0362798000000002, 1.1140041000000003, 1.5047727000000002, 0.6196539],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[1.0485502, 1.6555653, 0.6345500000000001, 0.2862692, 0.8593268000000001, 0.9835936000000001, 4.091458, 0.9114487, 1.7855678, 0.9027251000000001],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0.5325304, 0.33260989999999996, 0.6590124, 0.7840322000000001, 1.1879195, 0.5827331, 0.347366, 2.2631823, 1.7843555, 0.845504],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[1.5208736, 1.0670146, 0.9476574000000001, 1.9301772000000001, 1.1424672, 0.7697126000000001, 2.0731715, 1.1351182999999998, 0.18876, 0.5590456],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
